year,state,month,number,date
1999,Distrito Federal,Sept,12,1/1/1999
2000,Distrito Federal,Sept,3,1/1/2000
2001,Distrito Federal,Sept,12,1/1/2001
2002,Distrito Federal,Sept,33,1/1/2002
2003,Distrito Federal,Sept,17,1/1/2003
2004,Distrito Federal,Sept,100,1/1/2004
2005,Distrito Federal,Sept,23,1/1/2005
2006,Distrito Federal,Sept,20,1/1/2006
2007,Distrito Federal,Sept,73,1/1/2007
2008,Distrito Federal,Sept,54,1/1/2008
2009,Distrito Federal,Sept,5,1/1/2009
2010,Distrito Federal,Sept,196,1/1/2010
2011,Distrito Federal,Sept,133,1/1/2011
2012,Distrito Federal,Sept,64,1/1/2012
2013,Distrito Federal,Sept,31,1/1/2013
2014,Distrito Federal,Sept,72,1/1/2014
2015,Distrito Federal,Sept,76,1/1/2015
2016,Distrito Federal,Sept,58,1/1/2016
2017,Distrito Federal,Sept,122,1/1/2017
1998,Distrito Federal,Oct,3,1/1/1998
1999,Distrito Federal,Oct,8,1/1/1999
2000,Distrito Federal,Oct,18,1/1/2000
2001,Distrito Federal,Oct,0,1/1/2001
2002,Distrito Federal,Oct,19,1/1/2002
2003,Distrito Federal,Oct,12,1/1/2003
2004,Distrito Federal,Oct,18,1/1/2004
2005,Distrito Federal,Oct,18,1/1/2005
2006,Distrito Federal,Oct,1,1/1/2006
2007,Distrito Federal,Oct,13,1/1/2007
2008,Distrito Federal,Oct,6,1/1/2008
2009,Distrito Federal,Oct,3,1/1/2009
2010,Distrito Federal,Oct,6,1/1/2010
2011,Distrito Federal,Oct,0,1/1/2011
2012,Distrito Federal,Oct,15,1/1/2012
2013,Distrito Federal,Oct,3,1/1/2013
2014,Distrito Federal,Oct,34,1/1/2014
2015,Distrito Federal,Oct,21,1/1/2015
2016,Distrito Federal,Oct,9,1/1/2016
2017,Distrito Federal,Oct,66,1/1/2017
1998,Distrito Federal,Nov,0,1/1/1998
1999,Distrito Federal,Nov,1,1/1/1999
2000,Distrito Federal,Nov,0,1/1/2000
2001,Distrito Federal,Nov,0,1/1/2001
2002,Distrito Federal,Nov,1,1/1/2002
2003,Distrito Federal,Nov,0,1/1/2003
2004,Distrito Federal,Nov,0,1/1/2004
2005,Distrito Federal,Nov,2,1/1/2005
2006,Distrito Federal,Nov,0,1/1/2006
2007,Distrito Federal,Nov,0,1/1/2007
2008,Distrito Federal,Nov,4,1/1/2008
2009,Distrito Federal,Nov,0,1/1/2009
2010,Distrito Federal,Nov,0,1/1/2010
2011,Distrito Federal,Nov,1,1/1/2011
2012,Distrito Federal,Nov,0,1/1/2012
2013,Distrito Federal,Nov,0,1/1/2013
2014,Distrito Federal,Nov,0,1/1/2014
2015,Distrito Federal,Nov,3,1/1/2015
2016,Distrito Federal,Nov,1,1/1/2016
2017,Distrito Federal,Nov,0,1/1/2017
1998,Distrito Federal,Dec,0,1/1/1998
1999,Distrito Federal,Dec,0,1/1/1999
2000,Distrito Federal,Dec,0,1/1/2000
2001,Distrito Federal,Dec,1,1/1/2001
2002,Distrito Federal,Dec,1,1/1/2002
2003,Distrito Federal,Dec,0,1/1/2003
2004,Distrito Federal,Dec,0,1/1/2004
2005,Distrito Federal,Dec,0,1/1/2005
2006,Distrito Federal,Dec,0,1/1/2006
2007,Distrito Federal,Dec,0,1/1/2007
2008,Distrito Federal,Dec,0,1/1/2008
2009,Distrito Federal,Dec,0,1/1/2009
2010,Distrito Federal,Dec,1,1/1/2010
2011,Distrito Federal,Dec,0,1/1/2011
2012,Distrito Federal,Dec,0,1/1/2012
2013,Distrito Federal,Dec,2,1/1/2013
2014,Distrito Federal,Dec,0,1/1/2014
2015,Distrito Federal,Dec,0,1/1/2015
2016,Distrito Federal,Dec,0,1/1/2016
1998,Espirito Santo,Jan,0,1/1/1998
1999,Espirito Santo,Jan,33,1/1/1999
2000,Espirito Santo,Jan,5,1/1/2000
2001,Espirito Santo,Jan,1,1/1/2001
2002,Espirito Santo,Jan,2,1/1/2002
2003,Espirito Santo,Jan,4,1/1/2003
2004,Espirito Santo,Jan,1,1/1/2004
2005,Espirito Santo,Jan,4,1/1/2005
2006,Espirito Santo,Jan,13,1/1/2006
2007,Espirito Santo,Jan,0,1/1/2007
2008,Espirito Santo,Jan,12,1/1/2008
2009,Espirito Santo,Jan,4,1/1/2009
2010,Espirito Santo,Jan,52,1/1/2010
2011,Espirito Santo,Jan,3,1/1/2011
2012,Espirito Santo,Jan,1,1/1/2012
2013,Espirito Santo,Jan,10,1/1/2013
2014,Espirito Santo,Jan,11,1/1/2014
2015,Espirito Santo,Jan,76,1/1/2015
2016,Espirito Santo,Jan,43,1/1/2016
2017,Espirito Santo,Jan,13,1/1/2017
1998,Espirito Santo,Feb,0,1/1/1998
1999,Espirito Santo,Feb,10,1/1/1999
2000,Espirito Santo,Feb,5,1/1/2000
2001,Espirito Santo,Feb,5,1/1/2001
2002,Espirito Santo,Feb,4,1/1/2002
2003,Espirito Santo,Feb,11,1/1/2003
2004,Espirito Santo,Feb,5,1/1/2004
2005,Espirito Santo,Feb,1,1/1/2005
2006,Espirito Santo,Feb,45,1/1/2006
2007,Espirito Santo,Feb,3,1/1/2007
2008,Espirito Santo,Feb,20,1/1/2008
2009,Espirito Santo,Feb,12,1/1/2009
2010,Espirito Santo,Feb,15,1/1/2010
2011,Espirito Santo,Feb,42,1/1/2011
2012,Espirito Santo,Feb,25,1/1/2012
2013,Espirito Santo,Feb,15,1/1/2013
2014,Espirito Santo,Feb,17,1/1/2014
2015,Espirito Santo,Feb,60,1/1/2015
2016,Espirito Santo,Feb,24,1/1/2016
2017,Espirito Santo,Feb,8,1/1/2017
1998,Espirito Santo,March,0,1/1/1998
1999,Espirito Santo,March,8,1/1/1999
2000,Espirito Santo,March,1,1/1/2000
2001,Espirito Santo,March,2,1/1/2001
2002,Espirito Santo,March,4,1/1/2002
2003,Espirito Santo,March,28,1/1/2003
2004,Espirito Santo,March,3,1/1/2004
2005,Espirito Santo,March,3,1/1/2005
2006,Espirito Santo,March,14,1/1/2006
2007,Espirito Santo,March,9,1/1/2007
2008,Espirito Santo,March,5,1/1/2008
2009,Espirito Santo,March,11,1/1/2009
2010,Espirito Santo,March,3,1/1/2010
2011,Espirito Santo,March,5,1/1/2011
2012,Espirito Santo,March,35,1/1/2012
2013,Espirito Santo,March,13,1/1/2013
2014,Espirito Santo,March,15,1/1/2014
2015,Espirito Santo,March,25,1/1/2015
2016,Espirito Santo,March,107,1/1/2016
2017,Espirito Santo,March,9,1/1/2017
1998,Espirito Santo,April,0,1/1/1998
1999,Espirito Santo,April,2,1/1/1999
2000,Espirito Santo,April,3,1/1/2000
2001,Espirito Santo,April,2,1/1/2001
2002,Espirito Santo,April,2,1/1/2002
2003,Espirito Santo,April,22,1/1/2003
2004,Espirito Santo,April,0,1/1/2004
2005,Espirito Santo,April,4,1/1/2005
2006,Espirito Santo,April,1,1/1/2006
2007,Espirito Santo,April,2,1/1/2007
2008,Espirito Santo,April,8,1/1/2008
2009,Espirito Santo,April,8,1/1/2009
2010,Espirito Santo,April,7,1/1/2010
2011,Espirito Santo,April,3,1/1/2011
2012,Espirito Santo,April,74,1/1/2012
2013,Espirito Santo,April,16,1/1/2013
2014,Espirito Santo,April,15,1/1/2014
2015,Espirito Santo,April,33,1/1/2015
2016,Espirito Santo,April,57,1/1/2016
2017,Espirito Santo,April,7,1/1/2017
1998,Espirito Santo,May,0,1/1/1998
1999,Espirito Santo,May,16,1/1/1999
2000,Espirito Santo,May,2,1/1/2000
2001,Espirito Santo,May,8,1/1/2001
2002,Espirito Santo,May,5,1/1/2002
2003,Espirito Santo,May,1,1/1/2003
2004,Espirito Santo,May,0,1/1/2004
2005,Espirito Santo,May,5,1/1/2005
2006,Espirito Santo,May,0,1/1/2006
2007,Espirito Santo,May,1,1/1/2007
2008,Espirito Santo,May,2,1/1/2008
2009,Espirito Santo,May,7,1/1/2009
2010,Espirito Santo,May,3,1/1/2010
2011,Espirito Santo,May,2,1/1/2011
2012,Espirito Santo,May,20,1/1/2012
2013,Espirito Santo,May,14,1/1/2013
2014,Espirito Santo,May,18,1/1/2014
2015,Espirito Santo,May,17,1/1/2015
2016,Espirito Santo,May,48,1/1/2016
2017,Espirito Santo,May,10,1/1/2017
1998,Espirito Santo,June,6,1/1/1998
1999,Espirito Santo,June,6,1/1/1999
2000,Espirito Santo,June,9,1/1/2000
2001,Espirito Santo,June,9,1/1/2001
2002,Espirito Santo,June,18,1/1/2002
2003,Espirito Santo,June,19,1/1/2003
2004,Espirito Santo,June,3,1/1/2004
2005,Espirito Santo,June,8,1/1/2005
2006,Espirito Santo,June,5,1/1/2006
2007,Espirito Santo,June,4,1/1/2007
2008,Espirito Santo,June,4,1/1/2008
2009,Espirito Santo,June,12,1/1/2009
2010,Espirito Santo,June,3,1/1/2010
2011,Espirito Santo,June,7,1/1/2011
2012,Espirito Santo,June,15,1/1/2012
2013,Espirito Santo,June,22,1/1/2013
2014,Espirito Santo,June,9,1/1/2014
2015,Espirito Santo,June,18,1/1/2015
2016,Espirito Santo,June,49,1/1/2016
2017,Espirito Santo,June,37,1/1/2017
1998,Espirito Santo,July,37,1/1/1998
1999,Espirito Santo,July,9,1/1/1999
2000,Espirito Santo,July,16,1/1/2000
2001,Espirito Santo,July,12,1/1/2001
2002,Espirito Santo,July,9,1/1/2002
2003,Espirito Santo,July,27,1/1/2003
2004,Espirito Santo,July,4,1/1/2004
2005,Espirito Santo,July,9,1/1/2005
2006,Espirito Santo,July,11,1/1/2006
2007,Espirito Santo,July,13,1/1/2007
2008,Espirito Santo,July,5,1/1/2008
2009,Espirito Santo,July,25,1/1/2009
2010,Espirito Santo,July,5,1/1/2010
2011,Espirito Santo,July,18,1/1/2011
2012,Espirito Santo,July,35,1/1/2012
2013,Espirito Santo,July,20,1/1/2013
2014,Espirito Santo,July,17,1/1/2014
2015,Espirito Santo,July,30,1/1/2015
2016,Espirito Santo,July,42,1/1/2016
2017,Espirito Santo,July,3,1/1/2017
1998,Espirito Santo,Aug,38,1/1/1998
1999,Espirito Santo,Aug,60,1/1/1999
2000,Espirito Santo,Aug,26,1/1/2000
2001,Espirito Santo,Aug,30,1/1/2001
2002,Espirito Santo,Aug,60,1/1/2002
2003,Espirito Santo,Aug,118,1/1/2003
2004,Espirito Santo,Aug,12,1/1/2004
2005,Espirito Santo,Aug,12,1/1/2005
2006,Espirito Santo,Aug,29,1/1/2006
2007,Espirito Santo,Aug,82,1/1/2007
2008,Espirito Santo,Aug,13,1/1/2008
2009,Espirito Santo,Aug,17,1/1/2009
2010,Espirito Santo,Aug,39,1/1/2010
2011,Espirito Santo,Aug,93,1/1/2011
2012,Espirito Santo,Aug,12,1/1/2012
2013,Espirito Santo,Aug,53,1/1/2013
2014,Espirito Santo,Aug,47,1/1/2014
2015,Espirito Santo,Aug,35,1/1/2015
2016,Espirito Santo,Aug,78,1/1/2016
2017,Espirito Santo,Aug,30,1/1/2017
1998,Espirito Santo,Sept,108,1/1/1998
1999,Espirito Santo,Sept,64,1/1/1999
2000,Espirito Santo,Sept,14,1/1/2000
2001,Espirito Santo,Sept,38,1/1/2001
2002,Espirito Santo,Sept,46,1/1/2002
2003,Espirito Santo,Sept,252,1/1/2003
2004,Espirito Santo,Sept,47,1/1/2004
2005,Espirito Santo,Sept,8,1/1/2005
2006,Espirito Santo,Sept,87,1/1/2006
2007,Espirito Santo,Sept,63,1/1/2007
2008,Espirito Santo,Sept,78,1/1/2008
2009,Espirito Santo,Sept,57,1/1/2009
2010,Espirito Santo,Sept,53,1/1/2010
2011,Espirito Santo,Sept,108,1/1/2011
2012,Espirito Santo,Sept,48,1/1/2012
2013,Espirito Santo,Sept,30,1/1/2013
2014,Espirito Santo,Sept,61,1/1/2014
2015,Espirito Santo,Sept,228,1/1/2015
2016,Espirito Santo,Sept,128,1/1/2016
2017,Espirito Santo,Sept,58,1/1/2017
1998,Espirito Santo,Oct,20,1/1/1998
1999,Espirito Santo,Oct,23,1/1/1999
2000,Espirito Santo,Oct,88,1/1/2000
2001,Espirito Santo,Oct,19,1/1/2001
2002,Espirito Santo,Oct,113,1/1/2002
2003,Espirito Santo,Oct,159,1/1/2003
2004,Espirito Santo,Oct,48,1/1/2004
2005,Espirito Santo,Oct,62,1/1/2005
2006,Espirito Santo,Oct,10,1/1/2006
2007,Espirito Santo,Oct,79,1/1/2007
2008,Espirito Santo,Oct,100,1/1/2008
2009,Espirito Santo,Oct,13,1/1/2009
2010,Espirito Santo,Oct,32,1/1/2010
2011,Espirito Santo,Oct,38,1/1/2011
2012,Espirito Santo,Oct,62,1/1/2012
2013,Espirito Santo,Oct,37,1/1/2013
2014,Espirito Santo,Oct,89,1/1/2014
2015,Espirito Santo,Oct,307,1/1/2015
2016,Espirito Santo,Oct,58,1/1/2016
2017,Espirito Santo,Oct,56,1/1/2017
1998,Espirito Santo,Nov,4,1/1/1998
1999,Espirito Santo,Nov,9,1/1/1999
2000,Espirito Santo,Nov,3,1/1/2000
2001,Espirito Santo,Nov,3,1/1/2001
2002,Espirito Santo,Nov,22,1/1/2002
2003,Espirito Santo,Nov,49,1/1/2003
2004,Espirito Santo,Nov,42,1/1/2004
2005,Espirito Santo,Nov,0,1/1/2005
2006,Espirito Santo,Nov,0,1/1/2006
2007,Espirito Santo,Nov,112,1/1/2007
2008,Espirito Santo,Nov,3,1/1/2008
2009,Espirito Santo,Nov,18,1/1/2009
2010,Espirito Santo,Nov,3,1/1/2010
2011,Espirito Santo,Nov,6,1/1/2011
2012,Espirito Santo,Nov,7,1/1/2012
2013,Espirito Santo,Nov,11,1/1/2013
2014,Espirito Santo,Nov,20,1/1/2014
2015,Espirito Santo,Nov,141,1/1/2015
2016,Espirito Santo,Nov,8,1/1/2016
2017,Espirito Santo,Nov,3,1/1/2017
1998,Espirito Santo,Dec,5,1/1/1998
1999,Espirito Santo,Dec,0,1/1/1999
2000,Espirito Santo,Dec,3,1/1/2000
2001,Espirito Santo,Dec,1,1/1/2001
2002,Espirito Santo,Dec,12,1/1/2002
2003,Espirito Santo,Dec,18,1/1/2003
2004,Espirito Santo,Dec,9,1/1/2004
2005,Espirito Santo,Dec,5,1/1/2005
2006,Espirito Santo,Dec,0,1/1/2006
2007,Espirito Santo,Dec,14,1/1/2007
2008,Espirito Santo,Dec,1,1/1/2008
2009,Espirito Santo,Dec,32,1/1/2009
2010,Espirito Santo,Dec,10,1/1/2010
2011,Espirito Santo,Dec,1,1/1/2011
2012,Espirito Santo,Dec,18,1/1/2012
2013,Espirito Santo,Dec,9,1/1/2013
2014,Espirito Santo,Dec,28,1/1/2014
2015,Espirito Santo,Dec,61,1/1/2015
2016,Espirito Santo,Dec,12,1/1/2016
1998,Goias,Jan,0,1/1/1998
1999,Goias,Jan,14,1/1/1999
2000,Goias,Jan,10,1/1/2000
2001,Goias,Jan,29,1/1/2001
2002,Goias,Jan,12,1/1/2002
2003,Goias,Jan,14,1/1/2003
2004,Goias,Jan,10,1/1/2004
2005,Goias,Jan,27,1/1/2005
2006,Goias,Jan,85,1/1/2006
2007,Goias,Jan,28,1/1/2007
2008,Goias,Jan,23,1/1/2008
2009,Goias,Jan,30,1/1/2009
2010,Goias,Jan,59,1/1/2010
2011,Goias,Jan,39,1/1/2011
2012,Goias,Jan,21,1/1/2012
2013,Goias,Jan,33,1/1/2013
2014,Goias,Jan,80,1/1/2014
2015,Goias,Jan,118,1/1/2015
2016,Goias,Jan,52,1/1/2016
2017,Goias,Jan,53,1/1/2017
1998,Goias,Feb,0,1/1/1998
1999,Goias,Feb,334,1/1/1999
2000,Goias,Feb,11,1/1/2000
2001,Goias,Feb,9,1/1/2001
2002,Goias,Feb,9,1/1/2002
2003,Goias,Feb,47,1/1/2003
2004,Goias,Feb,11,1/1/2004
2005,Goias,Feb,84,1/1/2005
2006,Goias,Feb,21,1/1/2006
2007,Goias,Feb,13,1/1/2007
2008,Goias,Feb,25,1/1/2008
2009,Goias,Feb,29,1/1/2009
2010,Goias,Feb,86,1/1/2010
2011,Goias,Feb,45,1/1/2011
2012,Goias,Feb,37,1/1/2012
2013,Goias,Feb,86,1/1/2013
2014,Goias,Feb,44,1/1/2014
2015,Goias,Feb,53,1/1/2015
2016,Goias,Feb,117,1/1/2016
2017,Goias,Feb,75,1/1/2017
1998,Goias,March,0,1/1/1998
1999,Goias,March,1,1/1/1999
2000,Goias,March,4,1/1/2000
2001,Goias,March,10,1/1/2001
2002,Goias,March,48,1/1/2002
2003,Goias,March,29,1/1/2003
2004,Goias,March,36,1/1/2004
2005,Goias,March,36,1/1/2005
2006,Goias,March,29,1/1/2006
2007,Goias,March,49,1/1/2007
2008,Goias,March,20,1/1/2008
2009,Goias,March,32,1/1/2009
2010,Goias,March,65,1/1/2010
2011,Goias,March,19,1/1/2011
2012,Goias,March,57,1/1/2012
2013,Goias,March,79,1/1/2013
2014,Goias,March,80,1/1/2014
2015,Goias,March,76,1/1/2015
2016,Goias,March,136,1/1/2016
2017,Goias,March,115,1/1/2017
1998,Goias,April,0,1/1/1998
1999,Goias,April,25,1/1/1999
2000,Goias,April,16,1/1/2000
2001,Goias,April,49,1/1/2001
2002,Goias,April,78,1/1/2002
2003,Goias,April,87,1/1/2003
2004,Goias,April,32,1/1/2004
2005,Goias,April,55,1/1/2005
2006,Goias,April,22,1/1/2006
2007,Goias,April,17,1/1/2007
2008,Goias,April,36,1/1/2008
2009,Goias,April,11,1/1/2009
2010,Goias,April,105,1/1/2010
2011,Goias,April,71,1/1/2011
2012,Goias,April,89,1/1/2012
2013,Goias,April,42,1/1/2013
2014,Goias,April,138,1/1/2014
2015,Goias,April,89,1/1/2015
2016,Goias,April,167,1/1/2016
2017,Goias,April,60,1/1/2017
1998,Goias,May,0,1/1/1998
1999,Goias,May,99,1/1/1999
2000,Goias,May,58,1/1/2000
2001,Goias,May,85,1/1/2001
2002,Goias,May,171,1/1/2002
2003,Goias,May,57,1/1/2003
2004,Goias,May,157,1/1/2004
2005,Goias,May,164,1/1/2005
2006,Goias,May,33,1/1/2006
2007,Goias,May,94,1/1/2007
2008,Goias,May,41,1/1/2008
2009,Goias,May,104,1/1/2009
2010,Goias,May,239,1/1/2010
2011,Goias,May,136,1/1/2011
2012,Goias,May,103,1/1/2012
2013,Goias,May,150,1/1/2013
2014,Goias,May,210,1/1/2014
2015,Goias,May,129,1/1/2015
2016,Goias,May,233,1/1/2016
2017,Goias,May,135,1/1/2017
1998,Goias,June,172,1/1/1998
1999,Goias,June,250,1/1/1999
2000,Goias,June,222,1/1/2000
2001,Goias,June,212,1/1/2001
2002,Goias,June,302,1/1/2002
2003,Goias,June,321,1/1/2003
2004,Goias,June,422,1/1/2004
2005,Goias,June,189,1/1/2005
2006,Goias,June,70,1/1/2006
2007,Goias,June,186,1/1/2007
2008,Goias,June,55,1/1/2008
2009,Goias,June,179,1/1/2009
2010,Goias,June,278,1/1/2010
2011,Goias,June,314,1/1/2011
2012,Goias,June,245,1/1/2012
2013,Goias,June,192,1/1/2013
2014,Goias,June,318,1/1/2014
2015,Goias,June,277,1/1/2015
2016,Goias,June,289,1/1/2016
2017,Goias,June,442,1/1/2017
1998,Goias,July,512,1/1/1998
1999,Goias,July,311,1/1/1999
2000,Goias,July,332,1/1/2000
2001,Goias,July,371,1/1/2001
2002,Goias,July,686,1/1/2002
2003,Goias,July,322,1/1/2003
2004,Goias,July,778,1/1/2004
2005,Goias,July,363,1/1/2005
2006,Goias,July,169,1/1/2006
2007,Goias,July,399,1/1/2007
2008,Goias,July,193,1/1/2008
2009,Goias,July,470,1/1/2009
2010,Goias,July,941,1/1/2010
2011,Goias,July,607,1/1/2011
2012,Goias,July,564,1/1/2012
2013,Goias,July,350,1/1/2013
2014,Goias,July,446,1/1/2014
2015,Goias,July,347,1/1/2015
2016,Goias,July,837,1/1/2016
2017,Goias,July,577,1/1/2017
1998,Goias,Aug,2.218,1/1/1998
1999,Goias,Aug,1.198,1/1/1999
2000,Goias,Aug,925,1/1/2000
2001,Goias,Aug,787,1/1/2001
2002,Goias,Aug,1.428,1/1/2002
2003,Goias,Aug,902,1/1/2003
2004,Goias,Aug,1.498,1/1/2004
2005,Goias,Aug,639,1/1/2005
2006,Goias,Aug,588,1/1/2006
2007,Goias,Aug,2.382,1/1/2007
2008,Goias,Aug,568,1/1/2008
2009,Goias,Aug,647,1/1/2009
2010,Goias,Aug,2.914,1/1/2010
2011,Goias,Aug,1.613,1/1/2011
2012,Goias,Aug,912,1/1/2012
2013,Goias,Aug,488,1/1/2013
2014,Goias,Aug,1.255,1/1/2014
2015,Goias,Aug,943,1/1/2015
2016,Goias,Aug,1.032,1/1/2016
2017,Goias,Aug,1.492,1/1/2017
1998,Goias,Sept,2.867,1/1/1998
1999,Goias,Sept,1.898,1/1/1999
2000,Goias,Sept,1.293,1/1/2000
2001,Goias,Sept,1.863,1/1/2001
2002,Goias,Sept,3.52,1/1/2002
2003,Goias,Sept,1.662,1/1/2003
2004,Goias,Sept,2.965,1/1/2004
2005,Goias,Sept,1.341,1/1/2005
2006,Goias,Sept,1.463,1/1/2006
2007,Goias,Sept,3.745,1/1/2007
2008,Goias,Sept,1.255,1/1/2008
2009,Goias,Sept,685,1/1/2009
2010,Goias,Sept,5.075,1/1/2010
2011,Goias,Sept,2.259,1/1/2011
2012,Goias,Sept,2.452,1/1/2012
2013,Goias,Sept,684,1/1/2013
2014,Goias,Sept,1.687,1/1/2014
2015,Goias,Sept,2.296,1/1/2015
2016,Goias,Sept,1.703,1/1/2016
2017,Goias,Sept,3.238,1/1/2017
1998,Goias,Oct,1.034,1/1/1998
1999,Goias,Oct,743,1/1/1999
2000,Goias,Oct,905,1/1/2000
2001,Goias,Oct,479,1/1/2001
2002,Goias,Oct,1.367,1/1/2002
2003,Goias,Oct,1.183,1/1/2003
2004,Goias,Oct,1.275,1/1/2004
2005,Goias,Oct,1.717,1/1/2005
2006,Goias,Oct,178,1/1/2006
2007,Goias,Oct,1.195,1/1/2007
2008,Goias,Oct,1.231,1/1/2008
2009,Goias,Oct,367,1/1/2009
2010,Goias,Oct,1.227,1/1/2010
2011,Goias,Oct,476,1/1/2011
2012,Goias,Oct,1.524,1/1/2012
2013,Goias,Oct,606,1/1/2013
2014,Goias,Oct,1.947,1/1/2014
2015,Goias,Oct,1.807,1/1/2015
2016,Goias,Oct,522,1/1/2016
2017,Goias,Oct,2.401,1/1/2017
1998,Goias,Nov,47,1/1/1998
1999,Goias,Nov,110,1/1/1999
2000,Goias,Nov,26,1/1/2000
2001,Goias,Nov,15,1/1/2001
2002,Goias,Nov,192,1/1/2002
2003,Goias,Nov,168,1/1/2003
2004,Goias,Nov,291,1/1/2004
2005,Goias,Nov,144,1/1/2005
2006,Goias,Nov,91,1/1/2006
2007,Goias,Nov,79,1/1/2007
2008,Goias,Nov,90,1/1/2008
2009,Goias,Nov,89,1/1/2009
2010,Goias,Nov,67,1/1/2010
2011,Goias,Nov,59,1/1/2011
2012,Goias,Nov,57,1/1/2012
2013,Goias,Nov,183,1/1/2013
2014,Goias,Nov,181,1/1/2014
2015,Goias,Nov,547,1/1/2015
2016,Goias,Nov,123,1/1/2016
2017,Goias,Nov,117,1/1/2017
1998,Goias,Dec,13,1/1/1998
1999,Goias,Dec,20,1/1/1999
2000,Goias,Dec,6,1/1/2000
2001,Goias,Dec,18,1/1/2001
2002,Goias,Dec,115,1/1/2002
2003,Goias,Dec,129,1/1/2003
2004,Goias,Dec,56,1/1/2004
2005,Goias,Dec,5,1/1/2005
2006,Goias,Dec,7,1/1/2006
2007,Goias,Dec,16,1/1/2007
2008,Goias,Dec,6,1/1/2008
2009,Goias,Dec,39,1/1/2009
2010,Goias,Dec,48,1/1/2010
2011,Goias,Dec,39,1/1/2011
2012,Goias,Dec,93,1/1/2012
2013,Goias,Dec,86,1/1/2013
2014,Goias,Dec,68,1/1/2014
2015,Goias,Dec,179,1/1/2015
2016,Goias,Dec,64,1/1/2016
1998,Maranhao,Jan,0,1/1/1998
1999,Maranhao,Jan,54,1/1/1999
2000,Maranhao,Jan,19,1/1/2000
2001,Maranhao,Jan,29,1/1/2001
2002,Maranhao,Jan,48,1/1/2002
2003,Maranhao,Jan,436,1/1/2003
2004,Maranhao,Jan,241,1/1/2004
2005,Maranhao,Jan,450,1/1/2005
2006,Maranhao,Jan,221,1/1/2006
2007,Maranhao,Jan,428,1/1/2007
2008,Maranhao,Jan,121,1/1/2008
2009,Maranhao,Jan,240,1/1/2009
2010,Maranhao,Jan,319,1/1/2010
2011,Maranhao,Jan,124,1/1/2011
2012,Maranhao,Jan,326,1/1/2012
2013,Maranhao,Jan,209,1/1/2013
2014,Maranhao,Jan,195,1/1/2014
2015,Maranhao,Jan,494,1/1/2015
2016,Maranhao,Jan,412,1/1/2016
2017,Maranhao,Jan,187,1/1/2017
1998,Maranhao,Feb,0,1/1/1998
1999,Maranhao,Feb,6,1/1/1999
2000,Maranhao,Feb,11,1/1/2000
2001,Maranhao,Feb,1,1/1/2001
2002,Maranhao,Feb,116,1/1/2002
2003,Maranhao,Feb,11,1/1/2003
2004,Maranhao,Feb,22,1/1/2004
2005,Maranhao,Feb,56,1/1/2005
2006,Maranhao,Feb,22,1/1/2006
2007,Maranhao,Feb,13,1/1/2007
2008,Maranhao,Feb,45,1/1/2008
2009,Maranhao,Feb,20,1/1/2009
2010,Maranhao,Feb,93,1/1/2010
2011,Maranhao,Feb,9,1/1/2011
2012,Maranhao,Feb,46,1/1/2012
2013,Maranhao,Feb,62,1/1/2013
2014,Maranhao,Feb,29,1/1/2014
2015,Maranhao,Feb,95,1/1/2015
2016,Maranhao,Feb,318,1/1/2016
2017,Maranhao,Feb,47,1/1/2017
1998,Maranhao,March,0,1/1/1998
1999,Maranhao,March,17,1/1/1999
2000,Maranhao,March,6,1/1/2000
2001,Maranhao,March,0,1/1/2001
2002,Maranhao,March,16,1/1/2002
2003,Maranhao,March,16,1/1/2003
2004,Maranhao,March,18,1/1/2004
2005,Maranhao,March,9,1/1/2005
2006,Maranhao,March,14,1/1/2006
2007,Maranhao,March,52,1/1/2007
2008,Maranhao,March,4,1/1/2008
2009,Maranhao,March,33,1/1/2009
2010,Maranhao,March,82,1/1/2010
2011,Maranhao,March,22,1/1/2011
2012,Maranhao,March,49,1/1/2012
2013,Maranhao,March,30,1/1/2013
2014,Maranhao,March,59,1/1/2014
2015,Maranhao,March,53,1/1/2015
2016,Maranhao,March,113,1/1/2016
2017,Maranhao,March,32,1/1/2017
1998,Maranhao,April,0,1/1/1998
1999,Maranhao,April,4,1/1/1999
2000,Maranhao,April,6,1/1/2000
2001,Maranhao,April,2,1/1/2001
2002,Maranhao,April,28,1/1/2002
2003,Maranhao,April,79,1/1/2003
2004,Maranhao,April,44,1/1/2004
2005,Maranhao,April,43,1/1/2005
2006,Maranhao,April,9,1/1/2006
2007,Maranhao,April,5,1/1/2007
2008,Maranhao,April,26,1/1/2008
2009,Maranhao,April,14,1/1/2009
2010,Maranhao,April,128,1/1/2010
2011,Maranhao,April,37,1/1/2011
2012,Maranhao,April,97,1/1/2012
2013,Maranhao,April,62,1/1/2013
2014,Maranhao,April,78,1/1/2014
2015,Maranhao,April,119,1/1/2015
2016,Maranhao,April,113,1/1/2016
2017,Maranhao,April,91,1/1/2017
1998,Maranhao,May,0,1/1/1998
1999,Maranhao,May,3,1/1/1999
2000,Maranhao,May,28,1/1/2000
2001,Maranhao,May,21,1/1/2001
2002,Maranhao,May,71,1/1/2002
2003,Maranhao,May,60,1/1/2003
2004,Maranhao,May,145,1/1/2004
2005,Maranhao,May,74,1/1/2005
2006,Maranhao,May,5,1/1/2006
2007,Maranhao,May,73,1/1/2007
2008,Maranhao,May,26,1/1/2008
2009,Maranhao,May,19,1/1/2009
